Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,87261,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22.91974651,87261.0,0.0,87261,87261,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11.45987325,11.45987325,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,326,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,523,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3824.091778,523.0,0.0,523,523,523,523.0,0.0,523,523,0,0.0,0.0,0,0,0,0,0,0,64,0,3824.091778,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,319,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,94304,1,1,56,338,56,56,56.0,0.0,338,338,338.0,0.0,4177.977604,21.20800814,94304.0,0.0,94304,94304,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10.60400407,10.60400407,56,338,150.0,162.8127759,26508.0,0,0,0,0,0,0,0,0,1,225.0,56.0,338.0,0,0,0,0,0,0,1,56,1,338,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,207,2,2,84,246,42,42,42.0,0.0,123,123,123.0,0.0,1594202.899,19323.6715,69.0,36.37306696,111,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,9661.835749,9661.835749,42,123,74.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,93.0,42.0,123.0,0,0,0,0,0,0,2,84,2,246,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,69022032,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.78172048,0.05795251,23000000.0,39800000.0,69000000,22023,69000000,69000000.0,0.0,69000000,69000000,69000000,69000000.0,0.0,69000000,69000000,0,0,0,0,64,64,0.028976255,0.028976255,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,22276.0,0.0,22276,22276,69000000.0,0.0,69000000,69000000,BENIGN
49260,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,0,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
45198,99451595,6,6,11595,371,5792,0,1932.5,2989.558881,353,0,61.83333333,142.6722351,120.31984,0.120661715,9041054.091,29900000.0,99300000,4,99500000,19900000.0,44400000.0,99300000,86,99300000,19900000.0,44400000.0,99300000,4,0,0,0,0,200,164,0.060330857,0.060330857,0,5792,920.4615385,2164.199683,4683760.269,0,0,0,0,1,0,0,0,1,997.1666667,1932.5,61.83333333,0,0,0,0,0,0,6,11595,6,371,235,229,3,32,16982.0,0.0,16982,16982,99300000.0,0.0,99300000,99300000,BENIGN
53,61533,1,1,42,122,42,42,42.0,0.0,122,122,122.0,0.0,2665.23654,32.50288463,61533.0,0.0,61533,61533,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.25144232,16.25144232,42,122,68.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,103.0,42.0,122.0,0,0,0,0,0,0,1,42,1,122,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,66577,2,2,82,146,41,41,41.0,0.0,73,73,73.0,0.0,3424.606095,60.08080869,22192.33333,38433.05272,66571,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,30.04040434,30.04040434,41,73,53.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,67.25,41.0,73.0,0,0,0,0,0,0,2,82,2,146,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,83830,7,8,6150,3362,5471,0,878.5714286,2033.968195,1448,0,420.25,601.4788323,113467.7323,178.933556,5987.857143,9651.170434,23671,38,54319,9053.166667,11983.3841,25147,201,60342,8620.285714,12282.71498,28596,237,0,0,0,0,232,264,83.50232614,95.43122987,0,5471,594.5,1378.7871,1901053.867,0,0,0,1,0,0,0,0,1,634.1333333,878.5714286,420.25,0,0,0,0,0,0,7,6150,8,3362,29200,83,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
